id,name.local,name.en,name.slug,code.id,children_count.localite,geo.lat,geo.lon
MA009001,Agadir Ida Outanane,Agadir Ida Outanane,agadir-ida-outanane,MA009001,17,30.644,-9.602
MA009002,Chtouka Ait Baha,Chtouka Ait Baha,chtouka-ait-baha,MA009002,31,30.008,-9.339
MA009003,Inezgane Ait Melloul,Inezgane Ait Melloul,inezgane-ait-melloul,MA009003,4,30.35,-9.45
MA009004,Taroudant,Taroudant,taroudant,MA009004,98,30.446,-8.497
MA009005,Tata,Tata,tata,MA009005,21,29.386,-8.048
MA009006,Tiznit,Tiznit,tiznit,MA009006,45,29.592,-9.348
