id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.province,children_count.localite,zip_codes,geo.lat,geo.lon
MA004,1,جهة,Region,فاس - مكناس,Fez Meknes,fez-meknes-ma004,MA004,,,,,,9,255,,33.745,-4.847
MA004001,2,إقليم,Province,Fes,Fes,fes,MA004001,,MA004,فاس - مكناس,Fez Meknes,,,4,,33.962,-4.909
MA004002,2,إقليم,Province,Meknes,Meknes,meknes,MA004002,,MA004,فاس - مكناس,Fez Meknes,,,30,,34,-5.498
MA004003,2,إقليم,Province,El Hajeb,El Hajeb,el-hajeb,MA004003,,MA004,فاس - مكناس,Fez Meknes,,,17,,33.699,-5.493
MA004004,2,إقليم,Province,Ifrane,Ifrane,ifrane,MA004004,,MA004,فاس - مكناس,Fez Meknes,,,15,,33.353,-5.251
MA004005,2,إقليم,Province,Boulemane,Boulemane,boulemane,MA004005,,MA004,فاس - مكناس,Fez Meknes,,,33,,33.248,-3.91
MA004006,2,إقليم,Province,Moulay Yacoub,Moulay Yacoub,moulay-yacoub,MA004006,,MA004,فاس - مكناس,Fez Meknes,,,13,,34.11,-5.005
MA004007,2,إقليم,Province,Sefrou,Sefrou,sefrou,MA004007,,MA004,فاس - مكناس,Fez Meknes,,,26,,33.793,-4.645
MA004008,2,إقليم,Province,Taounate,Taounate,taounate,MA004008,,MA004,فاس - مكناس,Fez Meknes,,,60,,34.441,-4.904
MA004009,2,إقليم,Province,Taza,Taza,taza,MA004009,,MA004,فاس - مكناس,Fez Meknes,,,57,,34.286,-4.154
MA005,1,جهة,Region,كلميم - واد نون,Guelmim Oued Noun,guelmim-oued-noun-ma005,MA005,,,,,,4,59,,28.646,-10.068
MA005001,2,إقليم,Province,Assa Zag,Assa Zag,assa-zag,MA005001,,MA005,كلميم - واد نون,Guelmim Oued Noun,,,7,,28.235,-9.537
MA005002,2,إقليم,Province,Guelmim,Guelmim,guelmim,MA005002,,MA005,كلميم - واد نون,Guelmim Oued Noun,,,29,,28.891,-9.991
MA005003,2,إقليم,Province,Tan Tan,Tan Tan,tan-tan,MA005003,,MA005,كلميم - واد نون,Guelmim Oued Noun,,,7,,28.21,-11.088
MA005004,2,إقليم,Province,Sidi Ifni,Sidi Ifni,sidi-ifni,MA005004,,MA005,كلميم - واد نون,Guelmim Oued Noun,,,16,,29.329,-9.759
MA006,1,جهة,Region,مراكش - آسفي,Marrakech Safi,marrakech-safi-ma006,MA006,,,,,,8,271,,31.8,-8.311
MA006001,2,إقليم,Province,Al Haouz,Al Haouz,al-haouz,MA006001,,MA006,مراكش - آسفي,Marrakech Safi,,,43,,31.281,-7.925
MA006002,2,إقليم,Province,Chichaoua,Chichaoua,chichaoua,MA006002,,MA006,مراكش - آسفي,Marrakech Safi,,,36,,31.299,-8.848
MA006003,2,إقليم,Province,Essaouira,Essaouira,essaouira,MA006003,,MA006,مراكش - آسفي,Marrakech Safi,,,61,,31.363,-9.507
MA006004,2,إقليم,Province,Marrakech,Marrakech,marrakech,MA006004,,MA006,مراكش - آسفي,Marrakech Safi,,,20,,31.72,-8.154
MA006005,2,إقليم,Province,El Kelaat Es Sraghna,El Kelaat Es Sraghna,el-kelaat-es-sraghna,MA006005,,MA006,مراكش - آسفي,Marrakech Safi,,,47,,32.044,-7.384
MA006006,2,إقليم,Province,Safi,Safi,safi,MA006006,,MA006,مراكش - آسفي,Marrakech Safi,,,25,,32.25,-8.994
MA006007,2,إقليم,Province,Youssoufia,Youssoufia,youssoufia,MA006007,,MA006,مراكش - آسفي,Marrakech Safi,,,13,,32.024,-8.573
MA006008,2,إقليم,Province,Rhamna,Rhamna,rhamna,MA006008,,MA006,مراكش - آسفي,Marrakech Safi,,,26,,32.218,-8.076
MA007,1,جهة,Region,الجهة الشرقية,Oriental,oriental-ma007,MA007,,,,,,8,142,,33.579,-2.392
MA007001,2,إقليم,Province,Oujda Angad,Oujda Angad,oujda-angad,MA007001,,MA007,الجهة الشرقية,Oriental,,,13,,34.668,-2.036
